Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,pm8,p14,C3,C4,C5,C6,C7,P1,P10,P11,P12,P13,C2,Pm8,P2,P3,P4,P5,P6,P7,PC3,P9,PC10,PC11,PC12,PC13,PC14,PC15,PC2,P8,PC4,PC5,PC6,PC8,PC9,c10,c11,c12,c13,c14,c15,c8,c9,pm1,pm10,pm11,pm12,pm13,pm14,pm15,pm2,pm3,pm4,pm5,pm6,pm7,P15,pm9
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__unclassified_g__Porphyromonas,ASV8,7536,0.00726824511809,0,0,0,54,101,38,111,0,441,0,922,0,167,246,44,128,337,100,590,0,79,0,100,0,93,196,862,41,0,0,0,0,0,320,198,114,140,127,203,157,97,123,124,86,61,64,60,72,77,85,111,123,91,91,100,89,89,84
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales-Selenomonadales,f__Veillonellaceae,g__Veillonella,s__unclassified_g__Veillonella,ASV148,4154,0.00400640793797,158,0,0,149,116,170,155,114,0,0,45,0,208,54,0,38,0,0,0,56,0,0,0,0,0,0,0,8,0,0,87,0,0,21,49,179,119,146,119,114,200,147,258,124,52,125,98,29,139,72,80,82,77,85,160,113,125,83
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Stomatobaculum,s__uncultured_bacterium_g__Stomatobaculum,ASV167,2508,0.00241889049312,0,19,69,84,133,53,63,0,31,0,40,4,51,0,0,11,35,19,4,0,0,29,0,0,7,0,0,0,0,0,0,0,0,55,9,163,112,93,166,97,101,89,117,84,38,50,35,36,24,44,57,110,53,77,62,39,66,79
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales-Selenomonadales,f__Veillonellaceae,g__Veillonella,s__unclassified_g__Veillonella,ASV151,8442,0.00814205484169,0,103,131,291,195,435,336,0,201,405,0,0,0,0,61,96,306,0,83,0,0,67,0,0,87,0,0,0,0,0,0,0,0,50,0,469,216,518,314,374,800,504,736,120,89,153,125,56,146,89,99,162,83,95,115,117,138,77
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__unclassified_g__Haemophilus,ASV174,2434,0.002347519721,0,0,0,120,151,68,113,0,41,77,0,0,0,0,0,0,0,0,0,46,0,0,0,0,35,0,0,0,0,0,0,0,0,52,0,102,85,112,153,108,110,121,146,75,24,27,34,26,31,47,88,99,31,44,38,54,99,77
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Cardiobacterium,s__Cardiobacterium_valvarum,ASV156,890,0.000858378205295,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,25,0,17,0,24,102,0,57,45,0,0,56,107,83,74,53,59,41,0,74
d__Bacteria,k__norank_d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__unclassified_g__Leptotrichia,ASV165,1601,0.00154411629964,0,0,0,44,0,55,0,0,0,0,47,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,51,47,27,22,0,0,86,47,49,61,19,22,33,98,87,89,0,64,69,45,72
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_granulosa,ASV145,1894,0.00182670597846,0,70,0,0,30,0,0,0,34,0,0,0,0,0,0,42,0,0,335,78,0,0,0,0,0,0,0,0,0,0,0,0,0,70,62,0,19,0,31,0,0,25,0,134,31,0,51,55,32,32,132,146,101,108,73,53,79,71
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,s__unclassified_g__Neisseria,ASV408,148,0.000142741544251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,71
d__Bacteria,k__norank_d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__unclassified_g__Fusobacterium,ASV149,1650,0.00159137532442,0,40,75,59,0,0,0,93,118,0,45,44,99,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,44,0,0,0,0,0,0,0,0,122,63,92,63,43,70,0,58,124,40,29,62,59,48,69
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Ottowia_sp._oral_taxon_894,ASV129,1827,0.00176208649559,0,0,0,4,12,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,13,9,15,5,15,17,337,33,46,62,58,38,29,301,259,160,100,81,73,46,66
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,s__unclassified_g__Neisseria,ASV154,8985,0.00866576199391,151,0,96,44,66,64,44,136,0,353,15,2392,157,33,647,0,45,86,139,571,0,48,21,0,1601,175,0,19,0,348,32,0,0,0,378,35,27,70,58,41,38,42,44,109,36,37,50,68,44,77,114,89,68,56,41,64,55,61
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified_g__Streptococcus,ASV173,1038,0.00100111974955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,48,48,0,36,67,58,37,0,51,54,58,61
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Solobacterium,s__unclassified_g__Solobacterium,ASV20,4375,0.00421955578446,25,11,36,57,123,87,59,0,18,7,407,0,125,229,21,21,25,87,23,9,0,18,170,167,0,14,158,335,625,3,55,58,0,51,56,114,99,68,116,96,88,62,109,34,27,32,36,39,42,40,36,58,26,18,30,28,38,59
d__Bacteria,k__norank_d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia_sp._oral_clone_FP036,ASV188,679,0.000654875057748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,39,78,0,0,0,57,0,63,32,0,35,0,0,0,0,0,43,54,62,37,66,56
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__unclassified_g__Peptostreptococcus,ASV9,7169,0.00691428466715,147,179,147,85,190,92,126,0,743,39,185,0,79,107,59,34,47,113,34,225,88,15,121,44,258,110,524,720,0,14,91,6,6,133,45,202,211,150,185,136,142,133,139,86,64,69,66,92,59,68,52,69,59,74,80,55,117,55
